2019-12-24 14:24:13.865 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Starting SpringbootWebInterceptorApplication on Wade-Why with PID 2420 (F:\MyIdeaProgram\SpringBoot\springboot\springboot-web-interceptor\target\classes started by wadewhy in F:\MyIdeaProgram\SpringBoot\springboot)
2019-12-24 15:20:45.452 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2019-12-24 15:20:45.453 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2019-12-24 15:20:45.454 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2019-12-24 15:20:45.454 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-12-24 15:20:45.454 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-24 15:20:46.515 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019-12-24 15:20:46.598 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-24 15:20:46.599 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2271 ms
2019-12-24 15:20:46.674 [main] INFO  c.z.s.listenner.MyListener - 监听器开始初始化
2019-12-24 15:20:46.775 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24 15:20:46.942 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-12-24 15:20:46.945 [main] INFO  c.z.s.SpringbootWebServletFilterListenerApplication - Started SpringbootWebServletFilterListenerApplication in 3.226 seconds (JVM running for 6.33)
2019-12-24 15:23:57.061 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-24 15:23:57.061 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-24 15:23:57.067 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2019-12-24 15:23:57.074 [http-nio-8080-exec-1] INFO  c.z.s.filter.MyFilter - 拦截器开始拦截
2019-12-24 15:24:20.819 [http-nio-8080-exec-2] INFO  c.z.s.servlet.MyServlet - Servlet 开始初始化
2019-12-24 15:24:20.821 [http-nio-8080-exec-2] INFO  c.z.s.filter.MyFilter - 拦截器开始拦截
2019-12-24 15:24:20.821 [http-nio-8080-exec-2] INFO  c.z.s.servlet.MyServlet - Servlet 开始处理GET方法
2019-12-24 17:37:06.249 [main] INFO  c.z.s.SpringbootWebErrorApplication - Starting SpringbootWebErrorApplication on Wade-Why with PID 5860 (F:\MyIdeaProgram\SpringBoot\springboot\springboot-web-error\target\classes started by wadewhy in F:\MyIdeaProgram\SpringBoot\springboot)
2019-12-24 17:37:06.262 [main] INFO  c.z.s.SpringbootWebErrorApplication - The following profiles are active: dev
2019-12-24 17:37:08.527 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-12-24 17:37:08.547 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-24 17:37:08.548 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
